"Label (Grouping)","Ashland city, Oregon!!Estimate","Ashland city, Oregon!!Margin of Error","Ashland city, Oregon!!Percent","Ashland city, Oregon!!Percent Margin of Error","Baker City city, Oregon!!Estimate","Baker City city, Oregon!!Margin of Error","Baker City city, Oregon!!Percent","Baker City city, Oregon!!Percent Margin of Error","Cottage Grove city, Oregon!!Estimate","Cottage Grove city, Oregon!!Margin of Error","Cottage Grove city, Oregon!!Percent","Cottage Grove city, Oregon!!Percent Margin of Error","Eagle Point city, Oregon!!Estimate","Eagle Point city, Oregon!!Margin of Error","Eagle Point city, Oregon!!Percent","Eagle Point city, Oregon!!Percent Margin of Error","Forest Grove city, Oregon!!Estimate","Forest Grove city, Oregon!!Margin of Error","Forest Grove city, Oregon!!Percent","Forest Grove city, Oregon!!Percent Margin of Error","Klamath Falls city, Oregon!!Estimate","Klamath Falls city, Oregon!!Margin of Error","Klamath Falls city, Oregon!!Percent","Klamath Falls city, Oregon!!Percent Margin of Error","Newberg city, Oregon!!Estimate","Newberg city, Oregon!!Margin of Error","Newberg city, Oregon!!Percent","Newberg city, Oregon!!Percent Margin of Error","Newport city, Oregon!!Estimate","Newport city, Oregon!!Margin of Error","Newport city, Oregon!!Percent","Newport city, Oregon!!Percent Margin of Error","North Bend city, Oregon!!Estimate","North Bend city, Oregon!!Margin of Error","North Bend city, Oregon!!Percent","North Bend city, Oregon!!Percent Margin of Error","Ontario city, Oregon!!Estimate","Ontario city, Oregon!!Margin of Error","Ontario city, Oregon!!Percent","Ontario city, Oregon!!Percent Margin of Error","Prineville city, Oregon!!Estimate","Prineville city, Oregon!!Margin of Error","Prineville city, Oregon!!Percent","Prineville city, Oregon!!Percent Margin of Error","Roseburg city, Oregon!!Estimate","Roseburg city, Oregon!!Margin of Error","Roseburg city, Oregon!!Percent","Roseburg city, Oregon!!Percent Margin of Error","Sandy city, Oregon!!Estimate","Sandy city, Oregon!!Margin of Error","Sandy city, Oregon!!Percent","Sandy city, Oregon!!Percent Margin of Error","Silverton city, Oregon!!Estimate","Silverton city, Oregon!!Margin of Error","Silverton city, Oregon!!Percent","Silverton city, Oregon!!Percent Margin of Error","Sweet Home city, Oregon!!Estimate","Sweet Home city, Oregon!!Margin of Error","Sweet Home city, Oregon!!Percent","Sweet Home city, Oregon!!Percent Margin of Error","Tualatin city, Oregon!!Estimate","Tualatin city, Oregon!!Margin of Error","Tualatin city, Oregon!!Percent","Tualatin city, Oregon!!Percent Margin of Error","West Linn city, Oregon!!Estimate","West Linn city, Oregon!!Margin of Error","West Linn city, Oregon!!Percent","West Linn city, Oregon!!Percent Margin of Error"
"        $100,000 to $149,999","31","±48","0.6%","±0.9","605","±160","20.9%","±5.1","134","±101","5.6%","±4.3","144","±147","5.9%","±5.7","112","±81","2.0%","±1.4","673","±148","16.5%","±3.6","95","±80","1.6%","±1.3","216","±83","8.0%","±2.9","266","±111","11.4%","±5.0","598","±143","24.9%","±6.0","177","±104","6.8%","±4.1","828","±208","14.5%","±3.1","0","±20","0.0%","±1.1","58","±41","2.5%","±1.7","352","±141","14.6%","±5.5","8","±12","0.1%","±0.2","61","±67","0.7%","±0.8"
"        $150,000 to $199,999","161","±112","2.9%","±2.0","620","±150","21.4%","±4.9","365","±118","15.2%","±4.5","157","±115","6.4%","±4.4","136","±69","2.4%","±1.2","558","±142","13.7%","±3.3","97","±63","1.6%","±1.1","387","±120","14.4%","±4.3","383","±123","16.4%","±5.6","496","±149","20.6%","±5.8","449","±182","17.4%","±6.4","1,027","±325","18.0%","±5.2","47","±43","1.4%","±1.3","197","±111","8.5%","±4.7","687","±181","28.5%","±7.4","111","±60","1.9%","±1.0","55","±44","0.7%","±0.5"
"        $200,000 to $299,999","445","±147","7.9%","±2.6","654","±149","22.6%","±4.6","1,184","±202","49.4%","±6.5","758","±277","31.0%","±10.3","689","±200","12.4%","±3.4","1,294","±234","31.7%","±4.7","849","±253","14.3%","±4.3","570","±138","21.2%","±4.9","939","±303","40.3%","±10.8","396","±130","16.5%","±5.1","881","±230","34.1%","±7.7","1,750","±324","30.6%","±5.3","660","±197","19.9%","±5.9","479","±174","20.6%","±7.1","600","±285","24.9%","±10.2","458","±110","7.8%","±1.8","361","±150","4.3%","±1.7"
"        $300,000 to $499,999","2,078","±285","37.0%","±4.5","392","±126","13.5%","±4.5","455","±140","19.0%","±5.2","1,062","±313","43.5%","±11.0","3,232","±341","58.0%","±4.6","554","±158","13.6%","±3.7","3,416","±412","57.4%","±5.1","764","±134","28.4%","±4.8","490","±134","21.0%","±5.4","248","±117","10.3%","±4.6","581","±179","22.5%","±6.7","1,293","±243","22.6%","±4.4","2,134","±333","64.4%","±7.5","1,168","±212","50.3%","±8.2","217","±97","9.0%","±4.4","2,858","±249","48.8%","±3.3","2,708","±321","32.4%","±3.3"
"        $500,000 to $999,999","2,535","±346","45.1%","±4.6","57","±34","2.0%","±1.2","79","±69","3.3%","±2.9","134","±119","5.5%","±5.0","951","±188","17.1%","±3.3","177","±134","4.3%","±3.1","959","±231","16.1%","±3.7","545","±158","20.3%","±5.0","110","±95","4.7%","±4.0","18","±20","0.7%","±0.9","96","±65","3.7%","±2.5","68","±44","1.2%","±0.8","199","±109","6.0%","±3.2","288","±118","12.4%","±4.8","82","±66","3.4%","±2.8","2,313","±220","39.5%","±3.1","4,812","±324","57.6%","±3.5"
"        $1,000,000 or more","212","±87","3.8%","±1.6","8","±13","0.3%","±0.5","20","±22","0.8%","±0.9","0","±18","0.0%","±1.5","39","±49","0.7%","±0.9","66","±49","1.6%","±1.2","0","±24","0.0%","±0.6","30","±41","1.1%","±1.5","84","±82","3.6%","±3.5","0","±20","0.0%","±1.5","0","±20","0.0%","±1.4","37","±61","0.6%","±1.1","25","±30","0.8%","±0.9","0","±20","0.0%","±1.6","0","±18","0.0%","±1.5","6","±10","0.1%","±0.2","333","±116","4.0%","±1.3"
"        Median (dollars)","494,700","±23,134","(X)","(X)","169,500","±11,421","(X)","(X)","236,000","±9,573","(X)","(X)","296,600","±33,673","(X)","(X)","370,900","±12,826","(X)","(X)","203,800","±14,700","(X)","(X)","357,900","±11,194","(X)","(X)","299,300","±23,823","(X)","(X)","254,700","±20,486","(X)","(X)","145,300","±16,889","(X)","(X)","235,900","±22,613","(X)","(X)","214,900","±15,840","(X)","(X)","347,000","±11,571","(X)","(X)","344,000","±23,524","(X)","(X)","177,500","±16,285","(X)","(X)","466,200","±8,977","(X)","(X)","572,000","±18,165","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","5,616","±403","5,616","(X)","2,893","±219","2,893","(X)","2,396","±254","2,396","(X)","2,443","±405","2,443","(X)","5,572","±365","5,572","(X)","4,085","±382","4,085","(X)","5,948","±458","5,948","(X)","2,688","±262","2,688","(X)","2,330","±279","2,330","(X)","2,404","±262","2,404","(X)","2,586","±301","2,586","(X)","5,713","±491","5,713","(X)","3,316","±277","3,316","(X)","2,323","±220","2,323","(X)","2,412","±384","2,412","(X)","5,851","±317","5,851","(X)","8,360","±424","8,360","(X)"
"        Housing units with a mortgage","3,176","±368","56.6%","±4.5","1,626","±218","56.2%","±6.1","1,730","±209","72.2%","±5.2","1,406","±378","57.6%","±11.9","4,029","±380","72.3%","±4.8","2,589","±324","63.4%","±5.2","4,633","±433","77.9%","±4.1","1,265","±180","47.1%","±6.1","1,610","±298","69.1%","±8.1","1,284","±214","53.4%","±7.2","1,700","±255","65.7%","±6.7","3,333","±437","58.3%","±5.7","2,612","±321","78.8%","±5.8","1,582","±201","68.1%","±6.2","1,625","±331","67.4%","±9.7","4,460","±317","76.2%","±3.4","5,721","±432","68.4%","±3.9"
"        Housing units without a mortgage","2,440","±277","43.4%","±4.5","1,267","±201","43.8%","±6.1","666","±151","27.8%","±5.2","1,037","±335","42.4%","±11.9","1,543","±287","27.7%","±4.8","1,496","±255","36.6%","±5.2","1,315","±264","22.1%","±4.1","1,423","±242","52.9%","±6.1","720","±190","30.9%","±8.1","1,120","±219","46.6%","±7.2","886","±208","34.3%","±6.7","2,380","±377","41.7%","±5.7","704","±188","21.2%","±5.8","741","±165","31.9%","±6.2","787","±277","32.6%","±9.7","1,391","±214","23.8%","±3.4","2,639","±355","31.6%","±3.9"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage","3,176","±368","3,176","(X)","1,626","±218","1,626","(X)","1,730","±209","1,730","(X)","1,406","±378","1,406","(X)","4,029","±380","4,029","(X)","2,589","±324","2,589","(X)","4,633","±433","4,633","(X)","1,265","±180","1,265","(X)","1,610","±298","1,610","(X)","1,284","±214","1,284","(X)","1,700","±255","1,700","(X)","3,333","±437","3,333","(X)","2,612","±321","2,612","(X)","1,582","±201","1,582","(X)","1,625","±331","1,625","(X)","4,460","±317","4,460","(X)","5,721","±432","5,721","(X)"
"        Less than $500","16","±28","0.5%","±0.9","46","±33","2.8%","±1.9","13","±15","0.8%","±0.9","0","±18","0.0%","±2.6","26","±34","0.6%","±0.8","39","±31","1.5%","±1.2","0","±24","0.0%","±0.8","11","±13","0.9%","±1.0","6","±10","0.4%","±0.6","42","±42","3.3%","±3.3","31","±38","1.8%","±2.2","32","±34","1.0%","±1.0","0","±20","0.0%","±1.4","50","±49","3.2%","±3.0","0","±18","0.0%","±2.3","0","±24","0.0%","±0.8","0","±24","0.0%","±0.7"
"        $500 to $999","204","±117","6.4%","±3.6","511","±133","31.4%","±7.2","112","±56","6.5%","±3.1","89","±84","6.3%","±5.4","209","±94","5.2%","±2.3","629","±163","24.3%","±5.7","318","±164","6.9%","±3.4","89","±49","7.0%","±4.0","105","±56","6.5%","±3.7","365","±141","28.4%","±9.3","313","±161","18.4%","±8.3","689","±292","20.7%","±7.9","8","±13","0.3%","±0.5","41","±40","2.6%","±2.5","566","±229","34.8%","±11.9","135","±69","3.0%","±1.5","62","±47","1.1%","±0.8"
"        $1,000 to $1,499","561","±211","17.7%","±6.1","697","±157","42.9%","±7.7","727","±152","42.0%","±7.7","353","±219","25.1%","±13.0","780","±193","19.4%","±4.3","1,032","±209","39.9%","±6.5","579","±160","12.5%","±3.3","415","±111","32.8%","±8.4","762","±289","47.3%","±13.5","509","±128","39.6%","±9.5","699","±173","41.1%","±9.4","1,061","±253","31.8%","±6.5","444","±158","17.0%","±6.3","521","±166","32.9%","±9.9","708","±238","43.6%","±11.3","591","±128","13.3%","±2.8","350","±134","6.1%","±2.2"
"        $1,500 to $1,999","686","±186","21.6%","±5.8","252","±90","15.5%","±4.9","617","±141","35.7%","±7.0","506","±176","36.0%","±12.0","1,334","±257","33.1%","±5.4","530","±174","20.5%","±6.4","1,322","±276","28.5%","±5.7","292","±106","23.1%","±7.5","345","±146","21.4%","±9.0","157","±68","12.2%","±5.6","436","±164","25.6%","±8.2","1,116","±254","33.5%","±6.6","807","±275","30.9%","±10.0","541","±141","34.2%","±8.1","257","±130","15.8%","±7.5","1,069","±202","24.0%","±4.1","921","±216","16.1%","±3.4"
"        $2,000 to $2,499","777","±214","24.5%","±6.2","51","±37","3.1%","±2.2","227","±143","13.1%","±7.8","312","±255","22.2%","±16.7","944","±211","23.4%","±4.6","267","±156","10.3%","±5.6","1,449","±330","31.3%","±7.0","283","±107","22.4%","±8.2","271","±134","16.8%","±8.1","203","±142","15.8%","±9.8","111","±68","6.5%","±3.9","350","±115","10.5%","±3.3","966","±379","37.0%","±12.5","299","±131","18.9%","±7.8","77","±62","4.7%","±3.7","1,101","±181","24.7%","±3.5","1,036","±241","18.1%","±4.0"
"        $2,500 to $2,999","384","±146","12.1%","±4.5","52","±36","3.2%","±2.2","8","±12","0.5%","±0.7","71","±83","5.0%","±5.7","577","±166","14.3%","±3.9","55","±38","2.1%","±1.5","749","±300","16.2%","±5.7","46","±33","3.6%","±2.6","44","±49","2.7%","±3.0","8","±12","0.6%","±0.9","19","±33","1.1%","±2.0","37","±44","1.1%","±1.3","310","±183","11.9%","±7.0","114","±67","7.2%","±4.2","0","±18","0.0%","±2.3","879","±170","19.7%","±3.3","807","±180","14.1%","±3.0"
"        $3,000 or more","548","±195","17.3%","±5.5","17","±24","1.0%","±1.5","26","±30","1.5%","±1.7","75","±82","5.3%","±6.2","159","±77","3.9%","±2.0","37","±32","1.4%","±1.2","216","±100","4.7%","±2.2","129","±101","10.2%","±7.3","77","±69","4.8%","±4.3","0","±20","0.0%","±2.9","91","±79","5.4%","±4.6","48","±45","1.4%","±1.4","77","±77","2.9%","±3.0","16","±22","1.0%","±1.4","17","±25","1.0%","±1.6","685","±127","15.4%","±2.9","2,545","±303","44.5%","±4.6"
"        Median (dollars)","2,078","±138","(X)","(X)","1,152","±58","(X)","(X)","1,507","±76","(X)","(X)","1,670","±127","(X)","(X)","1,873","±74","(X)","(X)","1,330","±70","(X)","(X)","2,034","±109","(X)","(X)","1,705","±209","(X)","(X)","1,468","±96","(X)","(X)","1,232","±120","(X)","(X)","1,363","±115","(X)","(X)","1,453","±93","(X)","(X)","2,024","±138","(X)","(X)","1,709","±169","(X)","(X)","1,129","±88","(X)","(X)","2,198","±74","(X)","(X)","2,805","±162","(X)","(X)"
"    Housing units without a mortgage","2,440","±277","2,440","(X)","1,267","±201","1,267","(X)","666","±151","666","(X)","1,037","±335","1,037","(X)","1,543","±287","1,543","(X)","1,496","±255","1,496","(X)","1,315","±264","1,315","(X)","1,423","±242","1,423","(X)","720","±190","720","(X)","1,120","±219","1,120","(X)","886","±208","886","(X)","2,380","±377","2,380","(X)","704","±188","704","(X)","741","±165","741","(X)","787","±277","787","(X)","1,391","±214","1,391","(X)","2,639","±355","2,639","(X)"
"        Less than $250","26","±30","1.1%","±1.2","54","±39","4.3%","±3.0","23","±34","3.5%","±4.9","30","±47","2.9%","±4.3","143","±107","9.3%","±6.5","180","±81","12.0%","±5.0","144","±107","11.0%","±7.7","104","±49","7.3%","±3.5","11","±17","1.5%","±2.3","229","±121","20.4%","±9.8","173","±108","19.5%","±11.4","203","±124","8.5%","±4.7","81","±67","11.5%","±9.5","13","±21","1.8%","±2.9","188","±231","23.9%","±24.2","45","±35","3.2%","±2.5","0","±24","0.0%","±1.4"
"        $250 to $399","211","±96","8.6%","±3.8","446","±130","35.2%","±8.9","78","±41","11.7%","±6.1","208","±149","20.1%","±12.5","119","±81","7.7%","±5.3","585","±175","39.1%","±8.8","91","±54","6.9%","±3.9","141","±66","9.9%","±4.3","153","±67","21.3%","±7.8","222","±107","19.8%","±9.0","148","±83","16.7%","±8.5","562","±185","23.6%","±7.4","81","±76","11.5%","±10.2","57","±61","7.7%","±7.7","80","±56","10.2%","±7.6","12","±20","0.9%","±1.4","80","±64","3.0%","±2.3"
"        $400 to $599","647","±174","26.5%","±6.5","539","±148","42.5%","±8.9","280","±98","42.0%","±11.2","307","±181","29.6%","±13.7","311","±115","20.2%","±7.5","491","±148","32.8%","±8.1","363","±135","27.6%","±9.2","359","±98","25.2%","±6.2","359","±138","49.9%","±12.8","532","±166","47.5%","±10.8","419","±164","47.3%","±14.3","1,076","±290","45.2%","±9.5","177","±105","25.1%","±12.0","200","±90","27.0%","±11.9","254","±112","32.3%","±15.4","284","±100","20.4%","±6.3","377","±139","14.3%","±5.1"
"        $600 to $799","632","±167","25.9%","±5.6","120","±71","9.5%","±5.5","246","±103","36.9%","±12.1","301","±122","29.0%","±10.8","350","±126","22.7%","±8.4","130","±66","8.7%","±4.5","268","±119","20.4%","±8.5","470","±175","33.0%","±9.6","89","±66","12.4%","±8.9","109","±58","9.7%","±5.2","118","±75","13.3%","±7.9","375","±179","15.8%","±6.9","201","±101","28.6%","±13.0","264","±117","35.6%","±13.7","149","±85","18.9%","±10.5","493","±106","35.4%","±6.8","366","±126","13.9%","±4.8"
"        $800 to $999","502","±138","20.6%","±5.5","59","±43","4.7%","±3.3","32","±30","4.8%","±4.4","107","±106","10.3%","±8.9","321","±129","20.8%","±8.1","75","±71","5.0%","±4.7","335","±168","25.5%","±10.6","175","±82","12.3%","±5.3","43","±36","6.0%","±5.1","23","±21","2.1%","±1.9","28","±34","3.2%","±3.7","128","±71","5.4%","±3.1","97","±78","13.8%","±10.4","153","±82","20.6%","±10.2","59","±56","7.5%","±7.0","352","±101","25.3%","±5.7","729","±230","27.6%","±8.0"
"        $1,000 or more","422","±112","17.3%","±4.3","49","±40","3.9%","±3.1","7","±11","1.1%","±1.7","84","±95","8.1%","±8.8","299","±244","19.4%","±13.9","35","±30","2.3%","±2.0","114","±44","8.7%","±3.5","174","±79","12.2%","±5.5","65","±68","9.0%","±9.1","5","±12","0.4%","±1.0","0","±20","0.0%","±4.1","36","±43","1.5%","±1.8","67","±68","9.5%","±9.8","54","±45","7.3%","±6.1","57","±67","7.2%","±8.6","205","±89","14.7%","±5.8","1,087","±275","41.2%","±7.9"
"        Median (dollars)","713","±43","(X)","(X)","441","±30","(X)","(X)","562","±52","(X)","(X)","566","±139","(X)","(X)","714","±105","(X)","(X)","394","±38","(X)","(X)","641","±88","(X)","(X)","632","±29","(X)","(X)","521","±30","(X)","(X)","441","±43","(X)","(X)","446","±36","(X)","(X)","457","±24","(X)","(X)","610","±75","(X)","(X)","681","±73","(X)","(X)","531","±87","(X)","(X)","751","±34","(X)","(X)","932","±50","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","3,132","±368","3,132","(X)","1,589","±219","1,589","(X)","1,730","±209","1,730","(X)","1,406","±378","1,406","(X)","3,979","±374","3,979","(X)","2,589","±324","2,589","(X)","4,633","±433","4,633","(X)","1,265","±180","1,265","(X)","1,603","±296","1,603","(X)","1,255","±207","1,255","(X)","1,700","±255","1,700","(X)","3,307","±439","3,307","(X)","2,612","±321","2,612","(X)","1,582","±201","1,582","(X)","1,625","±331","1,625","(X)","4,460","±317","4,460","(X)","5,681","±433","5,681","(X)"
"        Less than 20.0 percent","1,348","±318","43.0%","±8.1","793","±163","49.9%","±8.1","476","±145","27.5%","±8.4","461","±249","32.8%","±13.9","1,659","±262","41.7%","±5.7","1,215","±219","46.9%","±7.7","1,695","±383","36.6%","±7.4","313","±89","24.7%","±6.4","835","±302","52.1%","±13.5","475","±142","37.8%","±10.3","614","±227","36.1%","±11.8","1,314","±320","39.7%","±7.7","1,035","±321","39.6%","±10.9","781","±185","49.4%","±10.4","605","±179","37.2%","±9.4","2,114","±243","47.4%","±4.3","2,450","±315","43.1%","±4.8"
"        20.0 to 24.9 percent","498","±222","15.9%","±6.8","269","±131","16.9%","±7.5","219","±64","12.7%","±3.6","419","±260","29.8%","±17.1","770","±230","19.4%","±5.2","276","±112","10.7%","±4.0","680","±218","14.7%","±4.8","182","±62","14.4%","±4.9","262","±134","16.3%","±8.0","233","±98","18.6%","±7.6","326","±133","19.2%","±7.5","510","±158","15.4%","±4.7","597","±263","22.9%","±9.7","174","±88","11.0%","±5.4","211","±105","13.0%","±6.3","941","±164","21.1%","±3.2","1,029","±203","18.1%","±3.5"
"        25.0 to 29.9 percent","369","±143","11.8%","±4.6","125","±49","7.9%","±2.9","344","±143","19.9%","±7.2","66","±71","4.7%","±5.0","423","±129","10.6%","±3.3","166","±78","6.4%","±3.1","769","±247","16.6%","±5.2","268","±113","21.2%","±7.7","167","±85","10.4%","±5.4","102","±58","8.1%","±4.5","132","±79","7.8%","±4.7","554","±200","16.8%","±5.4","296","±135","11.3%","±5.3","188","±92","11.9%","±5.7","327","±185","20.1%","±10.7","536","±145","12.0%","±3.1","668","±202","11.8%","±3.4"
"        30.0 to 34.9 percent","215","±97","6.9%","±3.0","91","±50","5.7%","±3.2","221","±95","12.8%","±5.3","266","±149","18.9%","±9.4","329","±135","8.3%","±3.3","242","±120","9.3%","±4.5","614","±215","13.3%","±4.5","93","±40","7.4%","±3.2","62","±51","3.9%","±3.4","55","±37","4.4%","±3.2","210","±108","12.4%","±6.0","170","±103","5.1%","±3.1","250","±146","9.6%","±5.4","75","±54","4.7%","±3.4","163","±113","10.0%","±6.4","355","±126","8.0%","±2.7","441","±202","7.8%","±3.4"
"        35.0 percent or more","702","±155","22.4%","±4.6","311","±102","19.6%","±6.0","470","±109","27.2%","±5.8","194","±129","13.8%","±9.1","798","±240","20.1%","±5.6","690","±228","26.7%","±7.1","875","±257","18.9%","±5.0","409","±124","32.3%","±8.6","277","±109","17.3%","±6.7","390","±167","31.1%","±10.9","418","±170","24.6%","±9.0","759","±205","23.0%","±5.6","434","±159","16.6%","±5.9","364","±154","23.0%","±8.6","319","±182","19.6%","±9.8","514","±97","11.5%","±2.2","1,093","±244","19.2%","±3.8"
"        Not computed","44","±68","(X)","(X)","37","±43","(X)","(X)","0","±20","(X)","(X)","0","±18","(X)","(X)","50","±55","(X)","(X)","0","±24","(X)","(X)","0","±24","(X)","(X)","0","±20","(X)","(X)","7","±15","(X)","(X)","29","±46","(X)","(X)","0","±20","(X)","(X)","26","±30","(X)","(X)","0","±20","(X)","(X)","0","±20","(X)","(X)","0","±18","(X)","(X)","0","±24","(X)","(X)","40","±42","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","2,404","±261","2,404","(X)","1,258","±202","1,258","(X)","666","±151","666","(X)","1,037","±335","1,037","(X)","1,543","±287","1,543","(X)","1,455","±260","1,455","(X)","1,315","±264","1,315","(X)","1,403","±240","1,403","(X)","720","±190","720","(X)","1,092","±217","1,092","(X)","886","±208","886","(X)","2,335","±370","2,335","(X)","690","±191","690","(X)","741","±165","741","(X)","773","±274","773","(X)","1,379","±212","1,379","(X)","2,628","±354","2,628","(X)"
"        Less than 10.0 percent","934","±174","38.9%","±5.5","534","±135","42.4%","±9.4","189","±72","28.4%","±9.1","356","±169","34.3%","±15.1","760","±235","49.3%","±10.1","682","±207","46.9%","±10.3","528","±168","40.2%","±10.8","493","±157","35.1%","±8.0","338","±134","46.9%","±12.8","385","±127","35.3%","±10.1","360","±117","40.6%","±10.9","806","±229","34.5%","±8.6","396","±161","57.4%","±13.5","311","±113","42.0%","±12.2","192","±99","24.8%","±13.0","766","±179","55.5%","±8.0","1,170","±272","44.5%","±8.5"
"        10.0 to 14.9 percent","411","±138","17.1%","±5.4","232","±98","18.4%","±7.3","134","±77","20.1%","±10.8","458","±227","44.2%","±15.8","280","±116","18.1%","±6.4","278","±123","19.1%","±7.4","170","±84","12.9%","±6.6","205","±94","14.6%","±6.3","161","±84","22.4%","±10.2","322","±158","29.5%","±11.7","158","±90","17.8%","±9.4","442","±188","18.9%","±7.4","84","±58","12.2%","±8.0","123","±78","16.6%","±9.9","64","±55","8.3%","±7.9","343","±106","24.9%","±6.8","502","±171","19.1%","±6.0"
"        15.0 to 19.9 percent","206","±105","8.6%","±4.3","187","±108","14.9%","±7.9","68","±41","10.2%","±5.8","128","±114","12.3%","±9.2","208","±110","13.5%","±7.2","134","±71","9.2%","±4.7","154","±100","11.7%","±7.0","223","±96","15.9%","±6.6","12","±17","1.7%","±2.5","71","±42","6.5%","±4.2","196","±115","22.1%","±11.0","304","±133","13.0%","±5.5","0","±20","0.0%","±5.3","92","±70","12.4%","±9.4","87","±58","11.3%","±7.6","88","±45","6.4%","±3.4","234","±92","8.9%","±3.5"
"        20.0 to 24.9 percent","270","±125","11.2%","±5.0","48","±39","3.8%","±3.0","105","±72","15.8%","±10.1","0","±18","0.0%","±3.5","113","±67","7.3%","±4.3","116","±77","8.0%","±5.2","49","±47","3.7%","±3.4","137","±73","9.8%","±5.1","43","±42","6.0%","±5.8","83","±56","7.6%","±5.1","41","±38","4.6%","±4.2","113","±75","4.8%","±3.1","30","±36","4.3%","±5.7","55","±40","7.4%","±5.3","167","±207","21.6%","±22.4","52","±40","3.8%","±2.9","201","±102","7.6%","±3.9"
"        25.0 to 29.9 percent","78","±78","3.2%","±3.3","97","±78","7.7%","±5.8","57","±36","8.6%","±5.2","18","±33","1.7%","±3.0","36","±34","2.3%","±2.3","83","±74","5.7%","±5.0","55","±43","4.2%","±3.4","113","±59","8.1%","±4.1","42","±48","5.8%","±6.5","25","±23","2.3%","±2.0","44","±33","5.0%","±3.7","145","±97","6.2%","±3.9","17","±27","2.5%","±4.1","2","±4","0.3%","±0.5","73","±66","9.4%","±8.5","49","±26","3.6%","±1.9","54","±39","2.1%","±1.5"
"        30.0 to 34.9 percent","106","±74","4.4%","±3.0","30","±33","2.4%","±2.7","27","±26","4.1%","±4.0","30","±47","2.9%","±4.3","54","±69","3.5%","±4.5","20","±23","1.4%","±1.6","44","±63","3.3%","±4.6","94","±53","6.7%","±3.6","10","±16","1.4%","±2.2","23","±21","2.1%","±2.0","7","±18","0.8%","±2.0","89","±83","3.8%","±3.6","17","±26","2.5%","±3.8","13","±21","1.8%","±2.9","21","±33","2.7%","±4.3","0","±24","0.0%","±2.7","47","±53","1.8%","±1.9"
"        35.0 percent or more","399","±145","16.6%","±6.0","130","±59","10.3%","±4.5","86","±63","12.9%","±8.6","47","±51","4.5%","±4.9","92","±60","6.0%","±3.8","142","±73","9.8%","±4.9","315","±166","24.0%","±10.9","138","±68","9.8%","±4.8","114","±80","15.8%","±10.4","183","±98","16.8%","±8.2","80","±70","9.0%","±7.5","436","±186","18.7%","±7.2","146","±96","21.2%","±13.2","145","±90","19.6%","±10.7","169","±116","21.9%","±14.4","81","±45","5.9%","±3.1","420","±216","16.0%","±7.6"
"        Not computed","36","±42","(X)","(X)","9","±14","(X)","(X)","0","±20","(X)","(X)","0","±18","(X)","(X)","0","±24","(X)","(X)","41","±35","(X)","(X)","0","±24","(X)","(X)","20","±14","(X)","(X)","0","±20","(X)","(X)","28","±32","(X)","(X)","0","±20","(X)","(X)","45","±50","(X)","(X)","14","±26","(X)","(X)","0","±20","(X)","(X)","14","±26","(X)","(X)","12","±18","(X)","(X)","11","±16","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","3,969","±421","3,969","(X)","1,196","±160","1,196","(X)","1,702","±272","1,702","(X)","1,049","±374","1,049","(X)","3,304","±377","3,304","(X)","4,891","±421","4,891","(X)","3,141","±426","3,141","(X)","1,867","±225","1,867","(X)","1,682","±245","1,682","(X)","1,966","±237","1,966","(X)","1,853","±324","1,853","(X)","4,318","±433","4,318","(X)","987","±252","987","(X)","1,551","±286","1,551","(X)","1,474","±289","1,474","(X)","4,751","±363","4,751","(X)","1,574","±269","1,574","(X)"
"        Less than $500","283","±148","7.1%","±3.5","205","±87","17.1%","±7.2","335","±127","19.7%","±7.2","0","±18","0.0%","±3.5","316","±165","9.6%","±4.9","478","±174","9.8%","±3.3","55","±52","1.8%","±1.6","248","±88","13.3%","±4.5","281","±126","16.7%","±6.8","393","±134","20.0%","±6.5","201","±117","10.8%","±6.2","587","±219","13.6%","±4.6","35","±42","3.5%","±4.3","204","±133","13.2%","±8.2","85","±74","5.8%","±5.0","20","±24","0.4%","±0.5","0","±24","0.0%","±2.4"
